date,nav,market price
20250619,47.1106,47.16
20250618,46.9686,46.96
20250617,47.2305,47.11
20250616,48.6391,48.72
20250613,47.1039,47.15
20250612,47.9434,47.99
20250611,49.0337,49.06
20250610,49.3927,49.39
20250609,49.0029,49.09
20250606,47.0858,47.17
20250605,45.9877,46
20250604,47.4156,47.43
20250603,48.1122,48.25
20250602,47.226,47.25
20250530,47.3746,47.4
20250529,48.1789,48.11
20250528,48.8673,48.89
20250527,50.1239,50.16
20250526,49.4484,49.58
20250523,49.2919,49.31
20250522,50.8227,50.92
20250521,49.6961,49.74
20250520,49.1645,49.21
20250516,47.9958,48.04
20250515,47.5271,47.52
20250514,47.6493,47.69
20250513,48.1454,48.27
20250512,46.9912,47.07
20250509,47.4462,47.5
20250508,46.4475,46.57
20250507,43.9203,43.96
20250506,43.1683,43.16
20250505,43.0021,43.03
20250502,44.2049,44.24
20250501,44.1405,44.17
20250430,42.8572,42.89
20250429,43.5684,43.57
20250428,43.2486,43.29
20250425,43.6307,43.69
20250424,42.8691,42.88
20250423,42.9161,42.94
20250422,41.7704,41.86
20250421,39.9375,39.89
20250417,38.7866,38.77
20250416,38.6213,38.67
20250415,38.744,38.77
20250414,38.9114,38.93
20250411,38.4587,38.49
20250410,36.7706,36.79
20250409,38.3415,38.41
20250408,36.1352,36.15
20250407,36.8015,36.79
20250404,39.4163,39.52
20250403,38.1593,38.16
20250402,41.0831,41.14
20250401,40.122,40.18
20250331,39.2343,39.18
20250328,39.6054,39.64
20250327,41.1914,41.17
20250326,40.8559,40.84
20250325,41.6147,41.62
20250324,41.7429,41.8
20250321,39.7737,39.79
20250320,39.8062,39.83
20250319,40.3782,40.49
20250318,38.8787,38.91
20250317,39.8546,39.86
20250314,40.1226,40.14
20250313,38.2725,38.19
20250312,39.4278,39.36
20250311,39.5175,39.62
20250310,37.6903,37.7
20250307,41.2993,41.28
20250306,42.1484,42.12
20250305,42.8442,42.89
20250304,41.5775,41.57
20250303,41.1498,41.22
20250228,40.2523,40.26
20250227,39.8192,39.79
20250226,39.9685,39.9
20250225,41.642,41.83
20250224,44.3046,44.28
20250221,44.6049,44.58
20250220,46.1162,46.1
20250219,45.1912,45.21
20250218,44.0957,44.16
20250214,45.5361,45.58
20250213,45.0773,45.14
20250212,45.7835,45.79
20250211,44.9246,45.01
20250210,46.022,46.07
20250207,45.1712,45.2
20250206,45.7748,45.79
20250205,46.0535,46.06
20250204,46.7542,46.73
20250203,48.7418,48.81
20250131,48.7738,48.81
