date,nav,market price
20251023,1.0824,1.0780
20251024,1.0977,1.0960
20251027,1.1435,1.1400
20251028,1.1273,1.1260
20251030,1.0981,1.0980
20251031,1.0811,1.0800
20251103,1.0607,1.0620
20251104,1.0315,1.0340
20251105,1.0055,1.0060
20251106,1.0186,1.0200
20251107,1.0047,1.0080
20251110,1.0495,1.0500
20251111,1.0362,1.0360
20251112,1.0201,1.0200
20251113,1.0230,1.0200
20251114,0.9595,0.9560
20251117,0.9419,0.9430
20251118,0.8877,0.8900
20251119,0.9020,0.9050
20251120,0.9074,0.9100
20251121,0.8346,0.8270
20251124,0.8576,0.8590
20251125,0.8655,0.8630
20251126,0.8656,0.8670
20251127,0.9009,0.9020
20251128,0.8999,0.8970
20251201,0.8510,0.8530
20251202,0.8579,0.8580
20251203,0.9182,0.9170
20251204,0.9189,0.9210
20251205,0.9107,0.9120
20251208,0.9028,0.9050
20251209,0.8909,0.8920
20251210,0.9132,0.9120
20251211,0.8894,0.8890
20251212,0.9114,0.9110
20251215,0.8836,0.8830
20251216,0.8496,0.8460
20251217,0.8559,0.8560
20251218,0.8550,0.8540
20251219,0.8659,0.8640
20251222,0.8778,0.8780
20251223,0.8621,0.8600
