date,nav,market price
20250124,1.6761,1.67
20250127,1.5775,1.59
20250128,1.6447,1.64
20250203,1.51,1.52
20250204,1.5821,1.58
20250205,1.5599,1.57
20250206,1.5691,1.57
20250207,1.5484,1.55
20250210,1.5541,1.56
20250211,1.5714,1.57
20250212,1.533,1.54
20250213,1.5343,1.54
20250214,1.549,1.54
20250217,1.5355,1.54
20250218,1.5246,1.53
20250219,1.5278,1.52
20250220,1.5482,1.54
20250221,1.5712,1.56
20250224,1.5303,1.53
20250225,1.4333,1.43
20250226,1.4169,1.42
20250227,1.3775,1.37
20250228,1.2667,1.27
20250303,1.4677,1.47
20250304,1.3326,1.32
20250305,1.3963,1.39
20250306,1.462,1.45
20250307,1.4097,1.4
20250310,1.3128,1.32
20250311,1.2822,1.29
20250312,1.304,1.31
20250313,1.3288,1.32
20250314,1.3097,1.32
20250317,1.3297,1.33
20250318,1.3238,1.33
20250319,1.3271,1.33
20250320,1.369,1.37
20250321,1.3388,1.34
20250324,1.3866,1.38
20250325,1.3799,1.38
20250326,1.4037,1.41
20250327,1.3925,1.39
20250328,1.3627,1.36
20250331,1.3063,1.3
20250401,1.3306,1.33
20250402,1.3424,1.34
20250403,1.3265,1.33
20250407,1.1949,1.2
20250408,1.2657,1.27
20250409,1.2364,1.23
20250410,1.3033,1.3
20250411,1.2921,1.29
20250414,1.3459,1.34
20250415,1.3641,1.36
20250416,1.3292,1.33
20250417,1.3499,1.34
20250422,1.4065,1.4
20250423,1.492,1.49
20250424,1.4701,1.47
20250425,1.4909,1.49
20250428,1.5068,1.5
20250429,1.5095,1.51
20250430,1.5073,1.51
20250502,1.5364,1.53
20250506,1.5025,1.51
20250507,1.5394,1.54
20250508,1.5782,1.58
20250509,1.6487,1.65
20250512,1.6718,1.66
20250513,1.6336,1.64
20250514,1.6475,1.65
20250515,1.6221,1.62
20250516,1.6527,1.65
20250519,1.6357,1.64
20250520,1.6752,1.67
20250521,1.7019,1.7
20250522,1.7613,1.76
20250523,1.7592,1.76
20250526,1.7481,1.75
20250527,1.7368,1.74
20250528,1.7311,1.73
20250529,1.7147,1.72
20250530,1.6745,1.67
20250602,1.6739,1.67
20250603,1.6733,1.67
20250604,1.6741,1.67
20250605,1.661,1.67
20250606,1.64,1.63
20250609,1.6771,1.67
20250610,1.7364,1.74
20250611,1.74,1.74
20250612,1.7106,1.71
20250613,1.6623,1.67
20250616,1.6968,1.69
20250617,1.694,1.69
20250618,1.6657,1.67
20250619,1.663,1.66
20250620,1.6697,1.67
20250623,1.6177,1.62
20250624,1.6734,1.67
20250625,1.6911,1.69
20250626,1.7134,1.71
20250627,1.7026,1.7
20250630,1.7079,1.7
20250702,1.6979,1.7
20250703,1.734,1.73
20250704,1.7271,1.73
20250707,1.7272,1.73
20250708,1.7183,1.72
20250709,1.7249,1.72
20250710,1.7656,1.76
20250711,1.8673,1.86
20250714,1.9429,1.95
20250715,1.8527,1.86
20250716,1.874,1.87
20250717,1.8742,1.87
20250718,1.9008,1.9
20250721,1.8924,1.9
20250722,1.8736,1.87
20250723,1.8781,1.87
20250724,1.8704,1.87
20250725,1.8272,1.83
20250728,1.8848,1.88
20250729,1.8834,1.88
20250730,1.8733,1.88
20250731,1.8806,1.88
20250801,1.8198,1.82
20250804,1.8147,1.82
20250805,1.8075,1.81
20250806,1.8083,1.81
20250807,1.8179,1.81
20250808,1.8501,1.85
20250811,1.9294,1.93
20250812,1.8847,1.89
20250813,1.8903,1.89
20250814,1.9276,1.93
20250815,1.8834,1.89
20250818,1.8267,1.83
20250819,1.8182,1.82
20250820,1.799,1.8
20250821,1.8004,1.8
20250822,1.7897,1.79
20250825,1.7685,1.77
20250826,1.7421,1.74
20250827,1.754,1.75
20250828,1.7908,1.79
20250829,1.7461,1.74
20250901,1.7173,1.72
20250902,1.7437,1.74
20250903,1.7529,1.75
20250904,1.7473,1.75
20250905,1.7814,1.78
20250908,1.7605,1.76
20250909,1.7882,1.78
20250910,1.7726,1.78
20250911,1.8043,1.8
20250912,1.8224,1.82
20250915,1.8345,1.83
20250916,1.831,1.83
20250917,1.8532,1.85
20250918,1.8519,1.84
20250919,1.8479,1.84
20250922,1.7831,1.78
20250923,1.7867,1.78
20250924,1.7797,1.77
20250925,1.7662,1.76
20250926,1.7275,1.73
20250929,1.7652,1.76
20250930,1.799,1.79
20251002,1.8736,1.87
20251003,1.8935,1.9
20251006,1.9543,1.95
20251008,1.9202,1.92
20251009,1.9257,1.92
20251010,1.9144,1.92
20251013,1.8223,1.83
20251014,1.7668,1.77
20251015,1.7765,1.77
20251016,1.7528,1.75
20251017,1.6758,1.67
20251020,1.7564,1.75
20251021,1.7047,1.71
20251022,1.7054,1.71
20251023,1.7303,1.72
20251024,1.7547,1.75
20251027,1.8278,1.82
20251028,1.802,1.8
20251030,1.7553,1.76
20251031,1.7281,1.73
20251103,1.6954,1.7
20251104,1.6488,1.65
20251105,1.6072,1.61
20251106,1.628,1.62
20251107,1.6059,1.61
20251110,1.6773,1.67
20251111,1.656,1.66
20251112,1.6303,1.63
20251113,1.6348,1.63
20251114,1.5336,1.53
20251117,1.5054,1.51
20251118,1.4189,1.43
20251119,1.4416,1.44
20251120,1.4502,1.45
20251121,1.334,1.33
20251124,1.3706,1.37
20251125,1.3832,1.38
20251126,1.3833,1.38
20251127,1.4397,1.44
20251128,1.4381,1.44
20251201,1.36,1.36
20251202,1.3709,1.37
20251203,1.4673,1.46
20251204,1.4683,1.47
20251205,1.4553,1.46
20251208,1.4425,1.45
20251209,1.4234,1.43
20251210,1.4591,1.46
20251211,1.4211,1.43
20251212,1.4562,1.45
20251215,1.4118,1.42
20251216,1.3573,1.36
20251217,1.3674,1.37
20251218,1.3659,1.37
20251219,1.3831,1.38
20251222,1.4021,1.4
"Investment involves risks, including possible loss of principal amount invested. Investors should read the offering documents for further details, including the risk factors, before investing.",nan,nan
"Historical data is provided for reference only, and does not represent any future performance.",nan,nan
"Investment return and principal value of an investment will fluctuate so that investor's units, when sold or redeemed, may be worth more or less than the original cost.",nan,nan
Current performance may be lower or higher than the performance quoted. Past performance is not indicative of future results.,nan,nan
